src,dst,Protocol,pktrate,pktperflow,dur,dur_nsec,bytecount,pktcount
14.0,16.0,3,449,13478,170,629000000,81871998,76803
12.0,15.0,3,446,13385,172,88000000,82929470,77795
16.0,2.0,1,1,30,579,987000000,55468,566
15.0,13.0,2,305,9179,74,173000000,1240542,22973
17.0,15.0,2,119,3588,319,135000000,6344572,96124
17.0,10.0,2,289,8683,81,96000000,1261602,23363
12.0,5.0,2,284,8548,141,602000000,2385134,41123
2.0,13.0,3,235,7070,406,506000000,124323104,119312
12.0,13.0,3,451,13538,135,932000000,65690118,61623
17.0,3.0,1,0,29,532,856000000,50960,520
12.0,5.0,2,329,9897,43,156000000,950214,14395
16.0,13.0,1,0,29,538,353000000,51450,525
1.0,12.0,1,0,29,562,840000000,53802,549
18.0,13.0,2,296,8900,240,732000000,4303368,74196
9.0,15.0,3,315,9456,183,440000000,59920210,57505
16.0,2.0,1,1,30,1401,411000000,152586,1557
14.0,2.0,1,298,8954,408,335000000,123644762,118661
0.0,16.0,3,450,13529,40,286000000,19404398,18203
17.0,13.0,1,1,30,461,839000000,44198,451
1.0,15.0,3,314,9423,113,336000000,37024344,35532
16.0,0.0,1,0,29,519,941000000,49686,507
5.0,1.0,1,0,29,293,158000000,28028,286
2.0,12.0,2,445,13370,171,150000000,83666698,74805
12.0,2.0,1,0,29,868,494000000,83006,847
10.0,13.0,2,277,8324,380,426000000,6020244,111486
5.0,1.0,1,1,30,502,838000000,48118,491
1.0,16.0,3,253,7597,350,710000000,107552114,103217
13.0,16.0,3,446,13387,100,238000000,48080864,45104
10.0,15.0,1,298,8961,200,38000000,46188046,44503
6.0,12.0,2,215,6461,438,677000000,6685848,123812
13.0,15.0,1,0,29,469,864000000,44786,457
16.0,2.0,2,265,7957,114,282000000,2092248,31694
18.0,14.0,1,304,9123,166,29000000,52098958,49999
12.0,13.0,3,448,13468,46,671000000,22629048,21228
12.0,13.0,3,274,8223,287,522000000,90928046,87263
1.0,15.0,3,314,9439,143,363000000,46866034,44977
17.0,13.0,1,1,30,288,177000000,27538,281
0.0,16.0,3,443,13306,190,726000000,91330616,85676
18.0,9.0,1,0,29,811,563000000,77616,792
3.0,7.0,2,8,269,486,845000000,7526370,129765
9.0,15.0,3,313,9400,213,443000000,69715010,66905
10.0,13.0,2,569,17082,384,134000000,12394782,229533
1.0,15.0,3,308,9245,263,369000000,85605510,82155
2.0,15.0,1,0,29,619,883000000,59192,604
16.0,0.0,1,0,28,201,213000000,19110,195
16.0,13.0,1,0,29,159,750000000,15190,155
13.0,5.0,2,267,8011,349,533000000,5550660,102790
1.0,15.0,3,308,9245,263,397000000,85608636,82158
11.0,16.0,3,305,9156,340,804000000,111131384,106652
3.0,13.0,3,274,8223,287,522000000,90928046,87263
10.0,16.0,3,142,4288,318,839000000,143571012,134682
12.0,15.0,3,96,2900,322,102000000,143718120,134820
9.0,15.0,3,310,9325,393,457000000,128051380,122890
14.0,10.0,2,0,0,24,333000000,11889694,10203
10.0,13.0,1,1,30,258,348000000,24696,252
18.0,9.0,1,1,30,781,509000000,74774,763
3.0,15.0,3,446,13388,43,320000000,20642024,19364
17.0,13.0,1,274,8229,447,541000000,130244790,124995
14.0,17.0,1,0,29,528,352000000,50470,515
1.0,11.0,1,0,0,18,480000000,1666,17
10.0,15.0,1,0,29,129,909000000,12348,126
14.0,10.0,2,558,16756,111,283000000,3247830,60145
1.0,16.0,3,311,9350,200,698000000,64615462,62011
9.0,17.0,1,1,30,991,669000000,94962,969
1.0,11.0,1,269,8071,361,58000000,104784562,100561
12.0,13.0,3,447,13421,165,935000000,79996904,75044
3.0,13.0,3,448,13457,205,281000000,99103888,92968
1.0,13.0,2,311,9358,113,126000000,2036902,35119
12.0,13.0,1,1,30,298,335000000,28518,291
5.0,1.0,1,0,29,993,283000000,95060,970
0.0,6.0,2,589,17676,180,98000000,5721246,105949
1.0,11.0,3,111,3334,467,543000000,135451664,129992
12.0,8.0,2,567,17012,151,938000000,4426164,81966
0.0,16.0,3,455,13651,220,728000000,105882582,99327
0.0,4.0,2,279,8370,255,935000000,4472380,77110
5.0,12.0,2,446,13403,296,276000000,145075734,129543
6.0,12.0,2,307,9217,165,194000000,2669914,46033
14.0,1.0,2,449,13498,204,385000000,100009922,88941
2.0,16.0,3,449,13475,200,265000000,96123352,90172
2.0,11.0,3,445,13368,296,782000000,142422930,133605
12.0,15.0,1,0,29,801,322000000,135536538,130781
18.0,11.0,1,301,9057,241,211000000,75999312,72936
16.0,2.0,1,0,29,710,211000000,67914,693
8.0,11.0,2,285,8553,179,578000000,2502468,46342
10.0,17.0,1,0,29,881,617000000,84280,860
0.0,16.0,3,450,13529,39,737000000,19251960,18060
0.0,3.0,2,323,9719,120,320000000,2579220,39076
16.0,12.0,1,1,30,939,955000000,89866,917
1.0,13.0,1,1,30,292,785000000,28028,286
17.0,13.0,2,277,8313,240,519000000,3942550,67975
16.0,0.0,1,303,9095,220,995000000,66693210,64005
0.0,3.0,2,289,8676,196,505000000,3567812,61514
3.0,17.0,2,277,8317,271,245000000,5642076,85482
16.0,13.0,3,263,7901,377,78000000,110854212,106386
18.0,11.0,1,1,30,221,537000000,21168,216
1.0,15.0,3,310,9314,233,367000000,75972220,72910
7.0,13.0,2,301,9054,291,343000000,5797542,87839
10.0,16.0,3,448,13463,170,742000000,81867734,76799
16.0,12.0,1,0,23,1031,234000000,97902,999
15.0,16.0,3,447,13438,60,842000000,29117790,27315
10.0,16.0,3,451,13533,230,401000000,110659328,103808
14.0,3.0,2,317,9531,31,122000000,646218,9791
10.0,3.0,2,113,3393,480,551000000,7533794,129893
12.0,1.0,1,0,29,323,309000000,30870,315
1.0,17.0,2,615,18466,170,656000000,5691168,105392
12.0,15.0,2,125,3775,499,751000000,7499748,129306
2.0,15.0,1,0,29,70,993000000,6664,68
11.0,16.0,3,308,9269,280,751000000,91877308,88174
1.0,11.0,1,1,30,388,468000000,37142,379
16.0,0.0,1,0,29,170,941000000,16268,166
13.0,5.0,2,302,9071,105,190000000,1599408,27576
14.0,1.0,1,0,29,362,736000000,34692,354
1.0,15.0,3,310,9314,233,345000000,75965968,72904
2.0,1.0,1,1,30,592,911000000,56742,579
18.0,3.0,2,0,0,17,998000000,305154,5651
13.0,5.0,2,303,9112,142,154000000,2463550,42475
13.0,2.0,2,327,9833,41,24000000,877122,13289
1.0,11.0,3,255,7674,196,492000000,59806632,57396
12.0,15.0,3,450,13526,142,89000000,68661060,64410
10.0,13.0,1,1,30,798,372000000,76342,779
12.0,10.0,3,288,8660,377,586000000,117152060,112430
7.0,13.0,2,285,8556,71,624000000,1326170,22865
2.0,11.0,1,1,30,1731,412000000,135644142,131879
18.0,13.0,1,0,29,288,359000000,27538,281
10.0,16.0,3,443,13307,290,754000000,139332596,130706
14.0,1.0,2,332,9973,264,351000000,5336244,80850
10.0,11.0,3,214,6422,225,756000000,66335804,63662
12.0,6.0,2,321,9641,123,163000000,2628822,39829
0.0,11.0,3,448,13442,167,17000000,80126956,75166
16.0,11.0,1,0,29,99,911000000,9506,97
12.0,13.0,3,446,13409,106,677000000,51400388,48218
16.0,10.0,1,0,29,60,117000000,5684,58
1.0,11.0,1,0,29,122,904000000,11662,119
16.0,10.0,1,97,2919,470,391000000,135429782,129971
5.0,17.0,1,1,30,311,542000000,29792,304
18.0,13.0,1,1,30,468,354000000,44786,457
2.0,16.0,3,451,13536,230,650000000,110653998,103803
0.0,15.0,3,451,13532,131,690000000,63715886,59771
1.0,3.0,2,562,16881,386,115000000,11725182,217133
1.0,16.0,3,223,6701,470,570000000,135434992,129976
18.0,13.0,2,82,2468,478,198000000,7524978,129741
10.0,13.0,3,111,3334,466,515000000,135263062,129811
0.0,15.0,1,1,30,1020,220000000,97608,996
2.0,11.0,3,235,7070,407,423000000,124491908,119474
18.0,10.0,1,1,30,771,903000000,73892,754
13.0,5.0,2,257,7711,374,193000000,5996916,111054
14.0,14.0,2,0,0,21,41000000,446742,8273
1.0,15.0,3,247,7431,443,375000000,131498316,126198
18.0,7.0,1,0,29,811,576000000,77616,792
10.0,15.0,1,0,29,1311,381000000,135603962,131469
16.0,3.0,1,300,9003,371,11000000,114201116,109598
0.0,16.0,3,0,0,10,284000000,4982484,4674
3.0,10.0,2,325,9760,144,16000000,3092310,46851
18.0,12.0,2,0,0,24,443000000,435638,7511
3.0,16.0,1,0,29,392,920000000,37534,383
14.0,17.0,2,582,17478,353,436000000,11465712,212328
16.0,10.0,2,243,7304,462,400000000,7429626,128097
3.0,10.0,2,281,8441,382,185000000,6307790,108755
7.0,3.0,2,314,9424,158,212000000,2710152,50188
14.0,1.0,2,327,9813,174,346000000,3374262,51123
10.0,15.0,1,0,29,170,154000000,16170,165
12.0,15.0,1,1,30,630,180000000,60270,615
12.0,15.0,3,450,13526,143,113000000,68828422,64567
8.0,11.0,2,254,7649,334,753000000,5250624,90528
13.0,16.0,3,455,13663,160,241000000,77013170,72245
14.0,2.0,1,289,8675,181,175000000,55429190,53195
5.0,11.0,2,445,13375,163,314000000,80019670,72543
3.0,13.0,3,294,8849,226,384000000,72975428,70034
8.0,11.0,2,313,9391,62,176000000,1222464,18518
17.0,10.0,2,321,9659,128,996000000,2716038,41151
12.0,13.0,3,448,13468,177,259000000,85027358,79763
13.0,16.0,3,294,8845,310,738000000,143906802,134997
12.0,17.0,1,304,9123,169,540000000,52679352,50556
10.0,17.0,1,298,8968,178,952000000,56665002,54381
0.0,15.0,1,0,3,1050,209000000,97902,999
9.0,17.0,1,0,29,811,531000000,77616,792
16.0,6.0,2,450,13504,51,396000000,25436794,22933
12.0,15.0,3,450,13526,201,313000000,97225596,91206
0.0,15.0,2,125,3775,487,735000000,6683796,123774
0.0,5.0,2,0,0,19,124000000,517302,8919
16.0,12.0,2,307,9233,170,874000000,2846664,52716
17.0,4.0,2,441,13241,219,73000000,106705132,97122
3.0,13.0,2,445,13355,31,223000000,15099686,13619
4.0,16.0,3,306,9180,240,863000000,78227108,75074
3.0,17.0,1,1,30,601,855000000,57624,588
1.0,13.0,1,1,30,413,159000000,39592,404
1.0,17.0,2,293,8792,290,882000000,4798710,88865
13.0,10.0,2,449,13482,260,727000000,127707736,114504
16.0,0.0,1,1,30,109,762000000,10486,107
10.0,17.0,1,235,7057,440,458000000,135303700,129850
5.0,0.0,2,298,8968,145,86000000,2607274,44953
16.0,10.0,1,0,29,431,183000000,41160,420
3.0,8.0,2,445,13360,94,78000000,45915480,41772
1.0,16.0,3,311,9350,200,698000000,64615462,62011
13.0,15.0,1,0,29,970,53000000,92708,946
8.0,11.0,2,287,8629,124,734000000,1875894,32343
13.0,15.0,1,0,29,551,105000000,52626,537
4.0,0.0,2,0,0,20,443000000,354768,5374
16.0,12.0,1,0,29,1850,271000000,135655412,131994
12.0,13.0,3,451,13532,282,744000000,137548112,129032
18.0,7.0,1,0,29,331,479000000,31654,323
18.0,13.0,3,312,9376,137,293000000,44716388,42914
2.0,11.0,3,0,0,17,393000000,5678900,5450
4.0,0.0,2,298,8950,55,78000000,1036576,17872
16.0,2.0,1,0,29,671,169000000,64092,654
14.0,1.0,1,0,29,363,189000000,34692,354
13.0,17.0,2,595,17871,321,660000000,10617912,196628
1.0,13.0,1,0,26,133,140000000,12348,126
17.0,10.0,2,304,9140,228,883000000,4025084,69398
3.0,10.0,2,280,8407,427,921000000,7038996,121362
17.0,13.0,3,306,9208,197,184000000,63913154,61337
6.0,0.0,2,300,9018,111,444000000,2085332,35954
0.0,3.0,2,0,0,20,336000000,354702,5373
18.0,10.0,2,255,7674,350,891000000,5690304,105376
16.0,13.0,2,278,8351,271,35000000,4126194,76411
2.0,13.0,1,247,7429,81,74000000,21914302,21031
13.0,14.0,2,298,8949,117,86000000,1952262,36153
12.0,15.0,1,292,8763,80,41000000,9108374,8811
2.0,16.0,3,451,13536,229,292000000,110351254,103519
14.0,16.0,3,449,13494,140,629000000,67504450,63325
4.0,0.0,2,536,16084,30,83000000,875394,16211
18.0,13.0,3,448,13442,57,213000000,27410058,25713
17.0,10.0,2,354,10646,469,135000000,14040108,260002
10.0,13.0,3,450,13529,97,163000000,46632170,43745
13.0,5.0,2,295,8857,157,421000000,2629638,48697
0.0,3.0,2,260,7818,230,414000000,4638126,70271
12.0,17.0,1,1,30,221,558000000,21168,216
7.0,17.0,1,0,1,1051,596000000,97902,999
1.0,15.0,3,314,9435,53,380000000,17392022,16691
0.0,15.0,3,450,13527,40,594000000,20455474,19189
0.0,6.0,2,260,7828,300,433000000,4779000,88500
9.0,15.0,3,315,9457,33,428000000,10863892,10426
3.0,7.0,2,331,9939,234,18000000,5056074,76605
5.0,0.0,2,335,10073,270,404000000,5901312,89410
5.0,17.0,1,1,30,721,905000000,69090,705
17.0,13.0,3,449,13491,223,348000000,108726670,101995
13.0,2.0,2,319,9586,131,30000000,2826696,42828
18.0,10.0,1,1,30,51,619000000,4900,50
0.0,4.0,2,287,8626,470,589000000,14011704,259476
15.0,15.0,1,0,29,639,950000000,61152,624
2.0,16.0,3,453,13593,80,261000000,38680876,36286
10.0,15.0,1,304,9130,201,139000000,48229422,46463
14.0,10.0,2,322,9684,91,119000000,1926156,29184
18.0,9.0,1,0,29,201,306000000,19208,196
12.0,13.0,3,310,9322,77,170000000,25583184,24552
16.0,10.0,1,0,29,1521,417000000,135624052,131674
5.0,11.0,2,283,8505,88,775000000,1521166,26227
2.0,13.0,3,447,13420,113,963000000,55850938,52393
1.0,16.0,3,308,9243,230,700000000,74246668,71254
2.0,11.0,2,444,13332,213,320000000,104548982,94683
12.0,13.0,3,451,13539,87,234000000,41907658,39313
9.0,15.0,3,0,0,3,425000000,1009698,969
0.0,3.0,2,574,17233,240,755000000,7483374,138581
1.0,16.0,3,246,7398,440,558000000,128452550,123275
0.0,15.0,3,450,13527,42,894000000,20780604,19494
14.0,3.0,1,0,29,108,325000000,10290,105
1.0,13.0,1,1,30,133,37000000,12740,130
18.0,13.0,3,0,0,27,229000000,13032916,12226
1.0,14.0,1,0,29,253,56000000,24206,247
2.0,11.0,3,455,13671,145,252000000,70310162,65957
17.0,13.0,3,307,9225,167,182000000,54318418,52129
17.0,11.0,2,0,0,8,724000000,261174,4503
18.0,9.0,1,0,29,801,459000000,76636,782
14.0,17.0,1,0,29,628,377000000,60074,613
18.0,9.0,1,0,29,961,665000000,92022,939
2.0,16.0,2,574,17233,240,338000000,7479972,138518
16.0,0.0,1,1,30,501,179000000,47922,489
3.0,7.0,2,332,9978,244,62000000,5309706,80449
0.0,11.0,1,335,10054,221,918000000,79194084,76002
17.0,3.0,1,0,29,643,101000000,61642,629
1.0,16.0,1,1,30,383,306000000,36652,374
1.0,11.0,3,451,13536,185,255000000,89429938,83893
11.0,16.0,3,313,9404,190,791000000,62770080,60240
18.0,11.0,1,1,30,221,537000000,21168,216
13.0,6.0,2,264,7927,257,250000000,4416004,76138
3.0,17.0,2,474,14232,450,787000000,14039784,259996
3.0,15.0,1,296,8904,190,6000000,53740108,51574
14.0,12.0,2,450,13500,161,80000000,78847688,71908
14.0,10.0,1,319,9579,316,787000000,106154792,101876
7.0,17.0,1,1,30,691,472000000,66150,675
11.0,16.0,3,311,9338,250,795000000,82235682,78921
2.0,11.0,1,1,30,388,493000000,37142,379
10.0,3.0,2,430,12927,271,258000000,132884998,119879
10.0,13.0,3,215,6453,177,309000000,50112906,48093
13.0,1.0,1,1,30,923,236000000,88494,903
2.0,11.0,1,0,29,310,946000000,29694,303
16.0,10.0,1,0,29,568,189000000,54292,554
1.0,16.0,3,267,8012,320,507000000,99620410,95605
16.0,12.0,1,0,29,339,821000000,32438,331
12.0,15.0,1,0,29,141,82000000,13426,137
13.0,6.0,2,529,15881,355,513000000,10810260,200190
0.0,15.0,3,450,13526,103,248000000,49505040,46440
0.0,16.0,3,288,8641,310,311000000,143838578,134933
18.0,15.0,1,1,58,920,156000000,135556628,130986
12.0,12.0,2,442,13281,104,414000000,51111776,46512
18.0,12.0,2,311,9332,89,603000000,1477872,27368
15.0,17.0,1,1,30,421,594000000,40376,412
15.0,15.0,1,270,8116,471,165000000,130912986,126053
3.0,13.0,1,0,29,398,315000000,38024,388
6.0,12.0,2,306,9204,77,164000000,1402788,24186
3.0,13.0,2,277,8330,332,894000000,5576700,96150
13.0,11.0,3,0,0,6,408000000,3320590,3115
17.0,15.0,1,0,29,399,990000000,38220,390
6.0,11.0,2,283,8506,81,267000000,1355994,25111
12.0,13.0,3,307,9211,77,397000000,25192434,24177
3.0,0.0,2,143,4313,465,965000000,7509898,129481
2.0,13.0,1,228,6844,451,624000000,135447496,129988
4.0,1.0,1,0,29,92,875000000,8820,90
0.0,5.0,2,496,14898,287,770000000,9138852,169238
16.0,3.0,1,0,29,408,176000000,39004,398
14.0,17.0,2,11,350,328,959000000,6458602,97851
17.0,13.0,3,449,13491,222,737000000,108704284,101974
0.0,4.0,2,251,7531,263,775000000,4467334,77023
4.0,16.0,3,308,9266,330,872000000,107334336,103008
12.0,13.0,1,1,30,928,537000000,88886,907
13.0,14.0,2,451,13535,280,644000000,137350750,124927
0.0,3.0,2,327,9825,260,368000000,5286636,80096
15.0,16.0,3,447,13438,60,842000000,29117790,27315
3.0,15.0,1,0,29,30,107000000,2842,29
12.0,17.0,1,0,10,1041,991000000,97902,999
12.0,15.0,3,446,13385,172,88000000,82929470,77795
17.0,4.0,2,441,13241,219,73000000,106705132,97122
1.0,16.0,1,0,29,823,112000000,78890,805
1.0,17.0,2,474,14232,450,704000000,14038002,259963
5.0,11.0,2,280,8405,319,696000000,5445504,93888
12.0,15.0,3,453,13616,111,307000000,54119754,50769
16.0,14.0,1,284,8540,379,731000000,119726842,114901
14.0,3.0,1,0,29,488,345000000,46648,476
3.0,16.0,1,0,29,333,180000000,31850,325
17.0,13.0,1,1,30,311,852000000,29792,304
18.0,10.0,1,297,8913,421,426000000,132265228,126934
0.0,15.0,1,0,29,791,130000000,75656,772
12.0,13.0,3,111,3334,467,318000000,135421446,129963
14.0,15.0,1,0,29,571,839000000,54684,558
1.0,16.0,3,310,9320,170,694000000,54872762,52661
17.0,13.0,3,449,13491,223,348000000,108726670,101995
12.0,6.0,2,301,9055,110,278000000,1841832,34108
17.0,10.0,1,1,30,283,137000000,26754,273
13.0,16.0,2,285,8562,180,490000000,2992452,51594
17.0,10.0,1,0,29,583,200000000,55468,566
16.0,0.0,1,0,29,641,110000000,61250,625
18.0,7.0,1,0,29,451,467000000,43120,440
1.0,11.0,3,450,13508,136,675000000,65799916,61726
12.0,13.0,3,451,13538,135,932000000,65690118,61623
16.0,12.0,1,0,29,911,168000000,87122,889
13.0,1.0,1,0,29,62,969000000,5978,61
2.0,16.0,3,450,13525,259,295000000,124768904,117044
1.0,11.0,1,1,30,382,833000000,36652,374
12.0,13.0,3,235,7070,407,308000000,124481488,119464
4.0,16.0,3,313,9402,120,852000000,39555362,37961
18.0,5.0,1,0,29,801,884000000,76734,783
15.0,17.0,1,1,30,941,927000000,90160,920
10.0,15.0,1,0,29,159,809000000,15190,155
14.0,15.0,1,273,8190,351,102000000,100810374,96747
14.0,3.0,2,413,12417,51,321000000,24859934,21083
3.0,15.0,1,1,30,680,221000000,65072,664
9.0,17.0,1,0,29,451,467000000,43120,440
6.0,15.0,2,303,9109,261,405000000,4504802,77669
12.0,15.0,1,1,59,861,362000000,85358,871
10.0,17.0,1,0,29,211,563000000,20188,206
7.0,11.0,2,259,7786,291,568000000,4348376,74972
13.0,1.0,1,0,29,193,21000000,18424,188
13.0,11.0,3,311,9357,267,463000000,77527926,74403
13.0,11.0,3,448,13442,166,401000000,79970254,75019
17.0,12.0,1,0,29,1013,261000000,97020,990
1.0,15.0,3,314,9427,83,355000000,27211830,26115
14.0,10.0,2,440,13206,174,367000000,85267406,75443
14.0,16.0,1,0,29,998,369000000,95452,974
15.0,16.0,2,572,17186,328,359000000,10211454,189101
15.0,16.0,3,453,13593,30,777000000,14782222,13867
13.0,2.0,2,326,9799,71,25000000,1523856,23088
13.0,11.0,2,307,9213,197,905000000,3538406,61007
17.0,13.0,3,451,13533,296,748000000,142608414,133779
12.0,5.0,2,0,0,3,196000000,1527490,1345
1.0,11.0,1,0,0,12,930000000,1176,12
16.0,17.0,1,0,29,79,935000000,7546,77
17.0,10.0,2,277,8334,263,47000000,4554856,78532
10.0,16.0,3,451,13533,230,401000000,110659328,103808
16.0,16.0,2,330,9916,209,125000000,4481856,67904
14.0,3.0,1,0,29,518,319000000,49490,505
14.0,15.0,1,1,30,1018,438000000,97412,994
0.0,3.0,2,0,0,1,290000000,562510,455
0.0,15.0,3,450,13527,43,245000000,20817914,19529
16.0,2.0,1,0,29,860,252000000,82222,839
3.0,0.0,2,501,15038,320,566000000,10013652,185438
12.0,15.0,3,446,13385,173,114000000,83096832,77952
17.0,13.0,2,296,8882,239,696000000,4015602,74363
10.0,16.0,3,448,13463,170,742000000,81867734,76799
1.0,11.0,3,200,6027,465,926000000,134081434,128677
15.0,17.0,1,0,29,331,526000000,31654,323
18.0,13.0,3,447,13420,116,731000000,56111042,52637
2.0,13.0,3,313,9418,57,353000000,18666388,17914
10.0,16.0,3,443,13307,289,466000000,139126858,130513
14.0,1.0,1,0,29,542,748000000,51940,530
0.0,6.0,2,450,13502,220,534000000,107555596,98082
3.0,13.0,2,413,12417,51,312000000,24859934,21083
2.0,15.0,1,0,29,39,742000000,3724,38
3.0,15.0,1,0,29,470,156000000,44884,458
2.0,13.0,1,287,8632,258,324000000,78564716,75398
2.0,16.0,3,453,13593,80,261000000,38680876,36286
18.0,13.0,3,288,8660,376,501000000,116956164,112242
12.0,1.0,1,0,29,453,190000000,43316,442
14.0,10.0,1,0,29,628,511000000,60074,613
10.0,16.0,2,177,5323,464,688000000,6998238,129597
14.0,2.0,1,1,30,471,854000000,45178,461
14.0,14.0,2,441,13254,234,381000000,114500814,102195
1.0,11.0,3,235,7070,407,423000000,124491908,119474
12.0,7.0,2,273,8211,423,899000000,6596154,122151
12.0,1.0,1,0,0,16,35000000,5809150,5575
7.0,11.0,2,285,8550,211,206000000,3432962,59189
3.0,17.0,1,1,30,1021,971000000,97804,998
2.0,1.0,1,0,18,1033,165000000,97902,999
5.0,0.0,2,217,6516,310,492000000,6543806,99145
0.0,6.0,2,450,13503,240,487000000,117252124,106826
10.0,3.0,2,287,8632,439,549000000,7125996,122862
12.0,10.0,1,0,29,418,494000000,39984,408
3.0,13.0,3,0,0,12,749000000,8052564,7554
16.0,10.0,1,0,29,1581,412000000,135629736,131732
1.0,16.0,3,280,8407,260,502000000,82991132,79646
1.0,11.0,3,0,0,17,281000000,5659102,5431
14.0,2.0,1,1,30,251,841000000,24108,246
10.0,16.0,3,451,13536,78,820000000,38344020,35970
12.0,15.0,3,446,13385,172,88000000,82929470,77795
0.0,16.0,3,0,0,10,711000000,5092282,4777
3.0,16.0,1,0,29,73,4000000,6958,71
17.0,0.0,2,143,4292,320,503000000,144068864,130092
16.0,3.0,1,1,30,150,116000000,14308,146
12.0,7.0,2,254,7649,349,921000000,5259440,90680
2.0,11.0,2,0,0,22,286000000,425088,7872
0.0,3.0,2,0,0,16,489000000,466900,8050
12.0,5.0,2,278,8348,32,413000000,528148,9106
17.0,3.0,1,0,29,973,284000000,92806,947
16.0,16.0,2,305,9178,93,148000000,1743190,30055
16.0,0.0,1,1,30,1161,356000000,135589654,131323
1.0,11.0,3,447,13421,165,935000000,79996904,75044
2.0,11.0,3,451,13538,137,330000000,65910780,61830
1.0,15.0,3,247,7431,443,397000000,131504568,126204
2.0,16.0,3,450,13525,259,295000000,124768904,117044
10.0,13.0,3,310,9322,75,749000000,25297676,24278
5.0,12.0,2,264,7940,296,36000000,4536486,84009
18.0,3.0,2,450,13526,104,140000000,50959504,44956
12.0,7.0,2,260,7816,222,378000000,3443580,63770
14.0,1.0,1,1,30,132,994000000,12740,130
18.0,3.0,2,326,9800,38,799000000,835212,12654
16.0,11.0,1,298,8944,381,169000000,104961688,101068
