dst,src,Protocol,pktcount,pktcount,label
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,0.0,3,45304,45304,0
16.0,10.0,3,90333,90333,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,10.0,3,90333,90333,0
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,10.0,3,90333,90333,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
15.0,0.0,3,32914,32914,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,10.0,3,90333,90333,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,126395,126395,0
16.0,10.0,3,90333,90333,0
16.0,0.0,3,126395,126395,0
16.0,0.0,3,112864,112864,0
15.0,0.0,3,32914,32914,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,0.0,3,112864,112864,0
16.0,10.0,3,36282,36282,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,0.0,3,112864,112864,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,117399,117399,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,0.0,3,112864,112864,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,103866,103866,0
16.0,0.0,3,112864,112864,0
16.0,10.0,3,103866,103866,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
15.0,0.0,3,6002,6002,1
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,10.0,3,117399,117399,0
16.0,0.0,3,72370,72370,0
15.0,0.0,3,32914,32914,0
16.0,0.0,3,4777,4777,1
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
16.0,0.0,3,72370,72370,0
15.0,0.0,3,32914,32914,0
16.0,0.0,3,72370,72370,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
15.0,0.0,3,32914,32914,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
15.0,0.0,3,32914,32914,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,0.0,3,72370,72370,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
15.0,0.0,3,32914,32914,0
16.0,10.0,3,117399,117399,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,72370,72370,0
16.0,10.0,3,117399,117399,0
16.0,0.0,3,72370,72370,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,10.0,3,117399,117399,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,135036,135036,1
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,10.0,3,130706,130706,0
16.0,0.0,3,85676,85676,0
16.0,10.0,3,130706,130706,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,0.0,3,85676,85676,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,85676,85676,0
16.0,0.0,3,135036,135036,1
16.0,10.0,3,49807,49807,0
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,4777,4777,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,85676,85676,0
16.0,10.0,3,36282,36282,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,135036,135036,1
16.0,0.0,3,85676,85676,0
16.0,0.0,3,135036,135036,1
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,49807,49807,0
16.0,0.0,3,85676,85676,0
16.0,0.0,3,85676,85676,0
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
16.0,10.0,3,130706,130706,0
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,36282,36282,0
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
15.0,0.0,3,6002,6002,1
16.0,10.0,3,130706,130706,0
15.0,0.0,3,6002,6002,1
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,0.0,3,135036,135036,1
16.0,10.0,3,36282,36282,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,130706,130706,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,36282,36282,0
16.0,10.0,3,130706,130706,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,135036,135036,1
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,0.0,3,31769,31769,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,0.0,3,31769,31769,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,0.0,3,72370,72370,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
15.0,0.0,3,19529,19529,0
16.0,0.0,3,31769,31769,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,76799,76799,0
16.0,0.0,3,31769,31769,0
16.0,10.0,3,76799,76799,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
15.0,0.0,3,19529,19529,0
16.0,10.0,3,22746,22746,0
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,10.0,3,22746,22746,0
16.0,0.0,3,135036,135036,1
16.0,10.0,3,22746,22746,0
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,0.0,3,135036,135036,1
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,0.0,3,135036,135036,1
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
16.0,10.0,3,22746,22746,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
16.0,0.0,3,4777,4777,1
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
16.0,10.0,3,22746,22746,0
15.0,0.0,3,19529,19529,0
16.0,10.0,3,22746,22746,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
15.0,0.0,3,19529,19529,0
16.0,10.0,3,22746,22746,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,72370,72370,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,10.0,3,49807,49807,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,49807,49807,0
16.0,0.0,3,18306,18306,0
16.0,10.0,3,49807,49807,0
16.0,0.0,3,18306,18306,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,49807,49807,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,10.0,3,49807,49807,0
16.0,10.0,3,63336,63336,0
16.0,0.0,3,18306,18306,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,63336,63336,0
16.0,10.0,3,103866,103866,0
16.0,10.0,3,63336,63336,0
16.0,0.0,3,18306,18306,0
16.0,10.0,3,49807,49807,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
16.0,0.0,3,18306,18306,0
