pktrate,pktperflow,Protocol,src,dst,label
270,8116,1,15.0,15.0,1.0
0,29,1,3.0,13.0,0.0
306,9204,2,6.0,12.0,1.0
277,8330,2,3.0,13.0,1.0
0,0,3,13.0,11.0,1.0
0,29,1,17.0,15.0,0.0
283,8506,2,6.0,11.0,1.0
307,9211,3,12.0,13.0,1.0
143,4313,2,3.0,0.0,1.0
228,6844,1,2.0,13.0,1.0
0,29,1,4.0,1.0,0.0
496,14898,2,0.0,5.0,0.0
0,29,1,16.0,3.0,0.0
11,350,2,14.0,17.0,1.0
449,13491,3,17.0,13.0,0.0
251,7531,2,0.0,4.0,1.0
308,9266,3,4.0,16.0,1.0
1,30,1,12.0,13.0,0.0
451,13535,2,13.0,14.0,0.0
327,9825,2,0.0,3.0,0.0
447,13438,3,15.0,16.0,0.0
0,29,1,3.0,15.0,0.0
0,10,1,12.0,17.0,0.0
446,13385,3,12.0,15.0,0.0
441,13241,2,17.0,4.0,0.0
0,29,1,1.0,16.0,0.0
474,14232,2,1.0,17.0,0.0
280,8405,2,5.0,11.0,1.0
453,13616,3,12.0,15.0,0.0
284,8540,1,16.0,14.0,1.0
0,29,1,14.0,3.0,0.0
0,29,1,3.0,16.0,0.0
1,30,1,17.0,13.0,0.0
297,8913,1,18.0,10.0,1.0
0,29,1,0.0,15.0,0.0
111,3334,3,12.0,13.0,1.0
0,29,1,14.0,15.0,0.0
310,9320,3,1.0,16.0,1.0
449,13491,3,17.0,13.0,0.0
301,9055,2,12.0,6.0,0.0
1,30,1,17.0,10.0,0.0
285,8562,2,13.0,16.0,1.0
0,29,1,17.0,10.0,0.0
0,29,1,16.0,0.0,0.0
0,29,1,18.0,7.0,0.0
450,13508,3,1.0,11.0,0.0
451,13538,3,12.0,13.0,0.0
0,29,1,16.0,12.0,0.0
0,29,1,13.0,1.0,0.0
450,13525,3,2.0,16.0,0.0
1,30,1,1.0,11.0,0.0
235,7070,3,12.0,13.0,1.0
313,9402,3,4.0,16.0,1.0
0,29,1,18.0,5.0,0.0
1,30,1,15.0,17.0,0.0
0,29,1,10.0,15.0,0.0
273,8190,1,14.0,15.0,1.0
413,12417,2,14.0,3.0,0.0
1,30,1,3.0,15.0,0.0
0,29,1,9.0,17.0,0.0
303,9109,2,6.0,15.0,0.0
1,59,1,12.0,15.0,0.0
0,29,1,10.0,17.0,0.0
259,7786,2,7.0,11.0,0.0
0,29,1,13.0,1.0,0.0
311,9357,3,13.0,11.0,1.0
448,13442,3,13.0,11.0,0.0
0,29,1,17.0,12.0,0.0
314,9427,3,1.0,15.0,1.0
440,13206,2,14.0,10.0,0.0
0,29,1,14.0,16.0,0.0
572,17186,2,15.0,16.0,1.0
453,13593,3,15.0,16.0,0.0
326,9799,2,13.0,2.0,0.0
307,9213,2,13.0,11.0,1.0
451,13533,3,17.0,13.0,0.0
0,0,2,12.0,5.0,0.0
0,0,1,1.0,11.0,0.0
0,29,1,16.0,17.0,0.0
277,8334,2,17.0,10.0,1.0
451,13533,3,10.0,16.0,0.0
330,9916,2,16.0,16.0,0.0
0,29,1,14.0,3.0,0.0
1,30,1,14.0,15.0,0.0
0,0,2,0.0,3.0,0.0
450,13527,3,0.0,15.0,0.0
0,29,1,16.0,2.0,0.0
501,15038,2,3.0,0.0,1.0
446,13385,3,12.0,15.0,0.0
296,8882,2,17.0,13.0,1.0
448,13463,3,10.0,16.0,0.0
200,6027,3,1.0,11.0,1.0
0,29,1,15.0,17.0,0.0
447,13420,3,18.0,13.0,0.0
313,9418,3,2.0,13.0,1.0
443,13307,3,10.0,16.0,0.0
0,29,1,14.0,1.0,0.0
450,13502,2,0.0,6.0,0.0
413,12417,2,3.0,13.0,0.0
0,29,1,2.0,15.0,0.0
0,29,1,3.0,15.0,0.0
287,8632,1,2.0,13.0,1.0
453,13593,3,2.0,16.0,0.0
288,8660,3,18.0,13.0,1.0
0,29,1,12.0,1.0,0.0
0,29,1,14.0,10.0,0.0
177,5323,2,10.0,16.0,1.0
1,30,1,14.0,2.0,0.0
441,13254,2,14.0,14.0,0.0
235,7070,3,1.0,11.0,1.0
273,8211,2,12.0,7.0,1.0
0,0,1,12.0,1.0,1.0
285,8550,2,7.0,11.0,0.0
1,30,1,3.0,17.0,0.0
0,18,1,2.0,1.0,0.0
217,6516,2,5.0,0.0,0.0
450,13503,2,0.0,6.0,0.0
287,8632,2,10.0,3.0,1.0
0,29,1,12.0,10.0,0.0
0,0,3,3.0,13.0,1.0
0,29,1,16.0,10.0,1.0
280,8407,3,1.0,16.0,1.0
0,0,3,1.0,11.0,1.0
1,30,1,14.0,2.0,0.0
451,13536,3,10.0,16.0,0.0
446,13385,3,12.0,15.0,0.0
0,0,3,0.0,16.0,1.0
0,29,1,3.0,16.0,0.0
143,4292,2,17.0,0.0,0.0
1,30,1,16.0,3.0,0.0
254,7649,2,12.0,7.0,0.0
0,0,2,2.0,11.0,1.0
0,0,2,0.0,3.0,1.0
278,8348,2,12.0,5.0,1.0
0,29,1,17.0,3.0,0.0
305,9178,2,16.0,16.0,0.0
1,30,1,16.0,0.0,1.0
447,13421,3,1.0,11.0,0.0
451,13538,3,2.0,11.0,0.0
247,7431,3,1.0,15.0,1.0
450,13525,3,2.0,16.0,0.0
310,9322,3,10.0,13.0,1.0
264,7940,2,5.0,12.0,1.0
450,13526,2,18.0,3.0,0.0
260,7816,2,12.0,7.0,0.0
1,30,1,14.0,1.0,0.0
326,9800,2,18.0,3.0,0.0
298,8944,1,16.0,11.0,1.0
301,9035,1,18.0,5.0,1.0
0,29,1,14.0,3.0,0.0
0,29,1,16.0,10.0,0.0
296,8896,2,14.0,17.0,1.0
0,29,1,16.0,11.0,1.0
1,30,1,3.0,15.0,0.0
298,8956,2,0.0,16.0,0.0
449,13496,2,13.0,11.0,0.0
314,9439,3,1.0,15.0,1.0
181,5445,2,16.0,11.0,0.0
273,8201,1,15.0,1.0,1.0
1,30,1,18.0,9.0,0.0
0,29,1,14.0,15.0,0.0
203,6105,2,13.0,16.0,1.0
304,9132,2,6.0,11.0,0.0
438,13165,2,14.0,7.0,0.0
0,29,1,12.0,17.0,0.0
431,12934,2,12.0,1.0,0.0
248,7464,3,3.0,15.0,1.0
85,2567,2,18.0,12.0,1.0
325,9774,2,16.0,6.0,0.0
1,30,1,15.0,1.0,0.0
451,13532,3,0.0,15.0,0.0
285,8569,1,1.0,11.0,1.0
0,0,2,10.0,17.0,1.0
603,18110,2,5.0,12.0,1.0
0,29,1,14.0,3.0,0.0
327,9818,2,13.0,6.0,0.0
455,13671,3,18.0,13.0,0.0
247,7431,3,1.0,15.0,1.0
326,9784,2,10.0,17.0,0.0
310,9316,2,3.0,8.0,1.0
314,9427,3,1.0,15.0,1.0
226,6795,3,1.0,16.0,1.0
298,8949,2,13.0,17.0,1.0
451,13542,3,3.0,15.0,0.0
0,29,1,16.0,13.0,0.0
0,29,1,0.0,15.0,0.0
1,30,1,17.0,15.0,0.0
0,29,1,18.0,7.0,0.0
283,8514,2,16.0,5.0,1.0
1,30,1,13.0,15.0,0.0
312,9382,2,12.0,8.0,0.0
308,9242,3,1.0,16.0,1.0
1,30,1,1.0,14.0,0.0
332,9981,2,18.0,10.0,0.0
1,30,1,10.0,16.0,0.0
0,29,1,2.0,15.0,0.0
304,9132,2,6.0,11.0,0.0
312,9376,3,2.0,11.0,1.0
451,13536,3,1.0,11.0,0.0
268,8040,3,4.0,16.0,1.0
311,9334,3,4.0,16.0,1.0
302,9071,2,13.0,6.0,1.0
451,13533,3,10.0,16.0,0.0
448,13459,2,14.0,17.0,0.0
313,9400,3,9.0,15.0,1.0
432,12982,2,3.0,1.0,0.0
443,13306,3,0.0,16.0,0.0
0,29,1,1.0,5.0,0.0
451,13532,3,12.0,15.0,0.0
0,29,1,1.0,13.0,0.0
1,30,1,17.0,10.0,0.0
312,9376,3,3.0,13.0,1.0
278,8351,2,17.0,10.0,1.0
0,29,1,0.0,15.0,0.0
1,30,1,3.0,13.0,0.0
0,29,1,2.0,15.0,0.0
322,9661,2,18.0,10.0,0.0
184,5545,2,6.0,11.0,1.0
294,8825,3,1.0,11.0,1.0
252,7570,3,0.0,15.0,1.0
450,13527,3,0.0,15.0,0.0
451,13541,3,12.0,15.0,0.0
448,13443,3,2.0,11.0,0.0
0,29,1,12.0,10.0,0.0
86,2604,3,4.0,16.0,1.0
449,13478,3,14.0,16.0,0.0
451,13533,3,10.0,16.0,0.0
0,29,1,15.0,17.0,0.0
0,29,1,15.0,15.0,0.0
273,8190,1,18.0,16.0,1.0
451,13535,3,0.0,16.0,0.0
441,13259,2,15.0,13.0,0.0
297,8930,1,16.0,10.0,1.0
246,7389,1,16.0,0.0,1.0
450,13528,3,0.0,15.0,0.0
1,30,1,0.0,15.0,0.0
0,29,1,7.0,17.0,0.0
417,12525,2,0.0,11.0,0.0
446,13387,3,14.0,16.0,0.0
451,13533,3,0.0,16.0,0.0
448,13468,3,3.0,13.0,0.0
315,9452,3,9.0,15.0,1.0
0,29,1,14.0,16.0,0.0
449,13491,3,12.0,13.0,0.0
0,29,1,9.0,17.0,0.0
1,30,1,16.0,0.0,0.0
56,1700,2,6.0,12.0,1.0
1,30,1,10.0,16.0,0.0
0,29,1,10.0,15.0,0.0
0,29,1,3.0,13.0,0.0
0,29,1,16.0,0.0,0.0
276,8292,2,3.0,17.0,1.0
586,17584,2,10.0,16.0,1.0
457,13718,2,3.0,15.0,0.0
279,8393,1,17.0,3.0,1.0
583,17512,2,14.0,17.0,1.0
0,29,1,18.0,7.0,0.0
307,9225,3,17.0,13.0,1.0
78,2369,3,10.0,13.0,1.0
317,9531,2,14.0,10.0,0.0
438,13158,2,3.0,17.0,0.0
307,9214,1,3.0,15.0,1.0
326,9786,2,2.0,12.0,0.0
0,29,1,18.0,9.0,0.0
296,8897,2,7.0,11.0,0.0
447,13430,3,12.0,15.0,0.0
0,29,1,16.0,3.0,0.0
449,13474,3,13.0,16.0,0.0
292,8772,1,1.0,11.0,1.0
0,29,1,3.0,16.0,0.0
0,29,1,16.0,10.0,0.0
0,0,3,14.0,16.0,1.0
455,13650,3,10.0,13.0,0.0
0,0,3,1.0,16.0,1.0
451,13532,3,12.0,15.0,0.0
447,13421,3,12.0,13.0,0.0
0,29,1,16.0,13.0,0.0
1,30,1,16.0,12.0,0.0
0,29,1,7.0,17.0,0.0
201,6058,2,7.0,3.0,1.0
1,30,1,16.0,2.0,0.0
448,13468,2,13.0,5.0,0.0
451,13533,3,0.0,16.0,0.0
451,13536,3,15.0,16.0,0.0
308,9259,1,17.0,15.0,1.0
273,8196,3,3.0,13.0,1.0
0,27,1,16.0,14.0,0.0
283,8514,2,5.0,15.0,1.0
453,13615,3,3.0,15.0,0.0
443,13309,2,0.0,5.0,0.0
314,9423,3,1.0,15.0,1.0
450,13528,3,1.0,11.0,0.0
288,8666,2,13.0,2.0,1.0
308,9256,3,1.0,16.0,1.0
0,29,1,10.0,15.0,1.0
0,29,1,1.0,14.0,0.0
272,8168,2,17.0,13.0,1.0
0,29,1,13.0,11.0,0.0
244,7328,2,0.0,6.0,0.0
0,29,1,10.0,15.0,0.0
450,13528,3,0.0,15.0,0.0
282,8484,2,17.0,10.0,1.0
1,30,1,10.0,15.0,0.0
111,3334,3,12.0,2.0,1.0
333,10000,2,15.0,17.0,0.0
0,29,1,3.0,15.0,0.0
1,30,1,10.0,17.0,0.0
0,0,2,0.0,6.0,0.0
0,29,1,3.0,13.0,0.0
290,8704,2,14.0,1.0,1.0
0,29,1,14.0,1.0,0.0
291,8755,2,1.0,17.0,1.0
455,13663,3,14.0,16.0,0.0
425,12766,2,3.0,15.0,0.0
276,8304,3,12.0,13.0,1.0
1,30,1,16.0,14.0,0.0
451,13537,3,0.0,16.0,0.0
451,13532,3,12.0,15.0,0.0
1,30,1,10.0,17.0,0.0
179,5387,3,13.0,11.0,1.0
1,30,1,10.0,17.0,0.0
445,13354,2,3.0,1.0,0.0
255,7656,2,13.0,13.0,1.0
0,29,1,0.0,15.0,0.0
0,29,1,16.0,2.0,0.0
0,0,3,12.0,13.0,1.0
300,9000,1,16.0,13.0,1.0
449,13499,3,3.0,13.0,0.0
502,15076,2,12.0,0.0,0.0
308,9255,2,10.0,16.0,0.0
0,0,1,3.0,15.0,1.0
0,29,1,12.0,0.0,0.0
280,8407,3,1.0,16.0,1.0
0,29,1,14.0,15.0,0.0
447,13430,3,12.0,15.0,0.0
1,30,1,3.0,15.0,0.0
0,29,1,15.0,1.0,0.0
451,13535,3,0.0,15.0,0.0
0,29,1,16.0,0.0,0.0
451,13533,3,10.0,16.0,0.0
0,29,1,14.0,11.0,0.0
448,13457,3,3.0,13.0,0.0
327,9833,2,13.0,0.0,0.0
257,7718,1,16.0,10.0,1.0
0,29,1,16.0,2.0,0.0
342,10265,1,12.0,2.0,1.0
0,29,1,16.0,13.0,0.0
0,29,1,16.0,0.0,0.0
0,29,1,17.0,3.0,0.0
269,8098,2,1.0,11.0,1.0
0,29,1,1.0,12.0,0.0
317,9516,3,12.0,13.0,1.0
305,9154,2,14.0,1.0,1.0
447,13438,3,15.0,16.0,0.0
0,29,1,14.0,15.0,0.0
12,386,2,14.0,16.0,1.0
443,13308,3,0.0,15.0,0.0
246,7400,1,16.0,10.0,1.0
451,13538,3,13.0,11.0,0.0
314,9446,3,4.0,16.0,1.0
0,29,1,16.0,14.0,0.0
1,30,1,16.0,0.0,0.0
326,9782,2,18.0,14.0,0.0
447,13413,2,10.0,16.0,0.0
0,29,1,10.0,15.0,0.0
423,12694,2,3.0,0.0,0.0
277,8314,3,12.0,13.0,1.0
447,13429,3,16.0,13.0,0.0
306,9184,1,0.0,15.0,1.0
1,30,1,12.0,17.0,0.0
0,0,2,0.0,16.0,1.0
326,9784,3,2.0,11.0,1.0
0,29,1,13.0,1.0,0.0
0,29,1,14.0,16.0,0.0
228,6859,2,16.0,3.0,0.0
255,7677,2,12.0,8.0,0.0
0,29,1,12.0,0.0,0.0
154,4645,3,11.0,16.0,1.0
300,9003,1,3.0,15.0,1.0
212,6364,3,1.0,15.0,1.0
446,13409,3,1.0,11.0,0.0
1,30,1,1.0,12.0,0.0
